Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
RB010	Any de l'enquesta	Año de la encuesta	Survey year				
RB020	País	País	Country				
RB020				ES	Espanya	España	Spain
RB030	Factor transversal de la persona	Identificador transversal de la persona	Cross-sectional person factor				
RB050	Factor de ponderació transversal multiplicat per 100.000 (factor de ponderació real = RB050 / 100.000)	Factor de ponderación transversal multiplicado por 100.000 (factor de ponderación real = RB050 / 100.000)	Cross-sectional weighting factor multiplied by 100,000 (real weighting factor = RB050 / 100,000)				
RB050_F	Variable que indica si RB050 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB050 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB050 is complete, if it is missing or if it is not applicable in the record in question.				
RB050_F				1	Variable completada	Variable completada	Variable completed
RB080	Any de naixement	Año de nacimiento	Year of birth				
RB080_F	Variable que indica si RB080 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB080 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB080 is complete, if it is missing or if it is not applicable in the record in question.				
RB080_F				1	Variable completada	Variable completada	Variable completed
RB081	Edat a 31 de desembre de l'any anterior al de l'enquesta	Edad a 31 de diciembre del año anterior al de la encuesta	Age on 31 December of the year preceding the survey year				
RB081_F	Variable que indica si RB081 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB081 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB081 is complete, if it is missing or if it is not applicable in the record in question.				
RB081_F				1	Variable completada	Variable completada	Variable completed
RB082	Edat a la data de l'entrevista	Edad en la fecha de la entrevista	Age on the date of the interview				
RB082_F	Variable que indica si RB082 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB082 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB082 is complete, if it is missing or if it is not applicable in the record in question.				
RB082_F				1	Variable completada	Variable completada	Variable completed
RB090	Sexe	Sexo	Sex				
RB090				1	Home	Varón	Man
RB090				2	Dona	Mujer	Woman
RB090_F	Variable que indica si RB090 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB090 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB090 is complete, if it is missing or if it is not applicable in the record in question.				
RB090_F				1	Variable completada	Variable completada	Variable completed
RB200	Situació pel que fa a la residència a la llar	Situación respecto a la residencia en el hogar	Household residence situation				
RB200				1	Actualment viu a la llar	Vive actualmente en el hogar	Currently lives in the household
RB200				2	Absent temporalment	Ausente temporalmente	Temporarily absent
RB200_F	Variable que indica si RB200 està completa, si falta o si no és aplicable al registre en qüestió	Variable que indica si RB200 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if RB200 is complete, if it is missing or if it is not applicable in the record in question.				
RB200_F				1	Variable completada	Variable completada	Variable completed
RB200_F				97	No hi consta	No consta	No answer
RB211	Quina de les següents va ser la seva situació a l'activitat actualment?	¿Cuál de las siguientes fue su situación en la actividad actualmente?	Which of the following was your employment status?				
RB211				1	Treballant	Trabajando	Working
RB211				2	Aturat	Parado	Unemployed
